序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
32,沈阳药科大学,沈阳市,双非,公办,260,https://syphu.jysd.com/,,,024-43520888,https://grs.syphu.edu.cn,,,,https://dir.syphu.edu.cn/,,,,
33,沈阳音乐学院,沈阳市,双非,公办,未上榜/独立榜,,,,,,,,,,,,,官网不可达：全部方式失败
34,辽宁中医药大学,沈阳市,双非,公办,360,http://jy.lnutcm.edu.cn/,,lnzyydxzsjyc@163.com,024-31207238; 0411-85890136,http://yjs.lnutcm.edu.cn,,,,,,,,
35,鲁迅美术学院,沈阳市,双非,公办,未上榜/独立榜,http://www.lumei.edu.cn/zsjy/bkszs.htm,,,,http://www.lumei.edu.cn/jyjx/yjsjy.htm,,,,,,,,
36,营口理工学院,营口市,双非,公办,500,,,,,,,,,,,,,
37,渤海大学,锦州市,双非,公办,380,,,,,,,,,,,,,
38,辽宁工业大学,锦州市,双非,公办,430,http://lngydx.bysjy.com.cn/,,lngydxjy@lnut.edu.cn,,http://yjsxy.lnut.edu.cn,,,0416-4198179,,,,,
39,锦州医科大学,锦州市,双非,公办,440,http://jy.jzmu.edu.cn,,zsjyc@jzmu.edu.cn,0416-3675051; 0416-4673436,https://yjsc.jzmu.edu.cn/,,,0416-3675207; 0416-3675209; 0416-3675210,,,,,
40,辽宁工程技术大学,阜新市,双非,公办,300,https://zsjy.lntu.edu.cn,,,,https://yjsy.lntu.edu.cn/,,,,https://gjxy.lntu.edu.cn/,,,,
41,辽宁科技大学,鞍山市,双非,公办,,http://zsjy.ustl.edu.cn/index.htm,,,0412-5929096; 0412-5929092; 0412-5928097,http://www.ustl.edu.cn/yjs/,辽科大研究生,lkdyjsyzhb@ustl.edu.cn,,http://www.ustl.edu.cn/international/,,,0412-5929089,
42,鞍山师范学院,鞍山市,双非,公办,480,http://www.asnc.edu.cn/zsjy/index.htm,,,,http://www.asnc.edu.cn/rcpy/yjsjy/index.htm,,,,,,,,
