序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
21,东北石油大学,大庆市,双非,公办,230,http://www.nepu.edu.cn/zsjy1.htm,,,,http://yjsb.nepu.edu.cn,,,19210459783,http://www.nepu.edu.cn/gjjl/xjjl.htm,,,,
22,大庆师范学院,大庆市,双非,公办,490,http://www.dqsy.net/zsjy.htm,,,,,,,,,,,,
23,黑龙江八一农垦大学,大庆市,双非,公办,420,http://www.byau.edu.cn/900/list.htm,,,,http://www.byau.edu.cn/932/list.htm,,,,http://www.byau.edu.cn/934/list.htm,,,,
24,牡丹江医科大学,牡丹江市,双非,公办,,https://www.hljbys.org.cn/school/index?mark=mdjmu,,,,http://www.mdjmu.cn/yjsc/,,,,,,,,
25,牡丹江师范学院,牡丹江市,双非,公办,480,https://mdjnu.gxbys.org.cn/,,,,http://yjs.mdjnu.cn/,,ascmdj@126.com,,,,,,
26,绥化学院,绥化市,双非,公办,510,http://www.shxy.edu.cn/jyzl.htm,,,,,,,,http://www.shxy.edu.cn/xxgk1/dwjlyhzxx.htm,,,,
27,黑龙江工业学院,鸡西市,双非,公办,550,http://www.hljut.edu.cn/a/zsjy/jiuyechuangye/,,,,,,,,http://www.hljut.edu.cn/a/guojijiaoliuhezuochu/,,,,
28,黑河学院,黑河市,双非,公办,530,https://zsxx.hhxy.edu.cn/,,,,,,,,https://gjjlhzc.hhxy.edu.cn/,,,,
29,齐齐哈尔医学院,齐齐哈尔市,双非,公办,,https://www.hljbys.org.cn/school/index?mark=qmu,,,0452-2663508,https://yjs.qmu.edu.cn/,,qyyzb@qmu.edu.cn,0452-2663828,https://foreignfairs.qmu.edu.cn/,,,0452-2663346; 0452-2663370; 2663515,
30,齐齐哈尔大学,齐齐哈尔市,双非,公办,380,http://job.qqhru.edu.cn/,,,,https://yjs.qqhru.edu.cn,,,,https://iec.qqhru.edu.cn/ ,,,,
