序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
13,南方科技大学,深圳市,双一流,公办,32,http://career.sustech.edu.cn/,,jobs@sustech.edu.cn,0755-88010732,https://gs.sustech.edu.cn/#/admission/,,,,https://global.sustech.edu.cn/,南方科技大学国际合作部暨港澳台办公室微信公众号,global@sustech.edu.cn,,
14,东莞理工学院,东莞市,双非,公办,258,http://job.dgut.edu.cn/,广东大学生就业创业小程序,jiuye@dgut.edu.cn,0769-22861918,https://yjs.dgut.edu.cn/,,,,http://www.dgut.edu.cn/info/1019/94112.htm,,,,
15,大湾区大学,东莞市,双非,公办,,,,,,https://www.gbu.edu.cn/educational_teaching.html#yjsjy,公众号二维码（未获取图片）,,,,,,,
16,香港城市大学（东莞）,东莞市,双非,中外合作办学,未上榜/独立榜,,,,,,,,,,,,,
17,佛山大学,佛山市,双非,公办,271,,,,,https://www.fosu.edu.cn/yanjiusheng/,,fosuyzb@fosu.edu.cn,0757-82771159,,,,,
18,顺德职业技术大学,佛山市,双非,公办,,https://jy.sdpt.edu.cn/,,,,,,,,https://www.sdpt.edu.cn/jlhz1/gjhz.htm,,,,
19,仲恺农业工程学院,广州市,双非,公办,265,http://www.zhku.edu.cn/zsjy.htm,,,020-89003030,http://yjs.zhku.edu.cn/,,,020-89002097,http://waishi.zhku.edu.cn/,,international@zhku.edu.cn,020-89003275,
20,南方医科大学,广州市,双非,公办,,http://fimmu.jobsys.cn/unijob/index.php/web/index/index,,nydjyzdzx@126.com,020-31044165; 020-61648500; 020-61648657,http://yjs.smu.edu.cn,,,,http://portal.smu.edu.cn/wsc/,,403928103@qq.com,61648027,
21,广东外语外贸大学,广州市,双非,公办,124,https://career.gdufs.edu.cn/,,36207021@163.com; 39328007@163.com,020-36207021; 020-39328007,http://gwyjs.gdufs.edu.cn/,,,,https://internationaloffice.gdufs.edu.cn/,,,,
22,广东工业大学,广州市,双非,公办,85,https://career.gdut.edu.cn,,gdutjob@126.com; 1184584511@qq.com; 1184545511@qq.com,020-39322210,https://yjs.gdut.edu.cn,,,,https://wsc.gdut.edu.cn/index.htm,,,,
23,广东技术师范大学,广州市,双非,公办,229,https://www.gpnu.edu.cn/zsjy.htm,,jysf@gpnu.edu.cn,020-38256601; 020-89285371,https://yjsc.gpnu.edu.cn/info/1443/6179.htm,,gsyjsc@gpnu.edu.cn,,http://oice.gpnu.edu.cn/,,,,
24,广东第二师范学院,广州市,双非,公办,461,,,,,,,,,,,,,官网不可达：全部方式失败
25,广东药科大学,广州市,双非,公办,317,http://www.gdpu.edu.cn/zsyjy/yjszs.htm,,,39352516,https://yjsxy.gdpu.edu.cn/,公众号二维码: qrcodes\广东药科大学_grad.jpg,yjsc@gdpu.edu.cn,020-39352613,https://gjjlhzc.gdpu.edu.cn/lxgyd/gatzs.htm,,,020-39352082,
26,广东警官学院,广州市,双非,公办,,,,,,,,,,,,,,官网不可达：全部方式失败
27,广东财经大学,广州市,双非,公办,188,http://www.gdufe.edu.cn/11032/list.htm,,,,http://yjsc.gdufe.edu.cn,,,84096846,http://fao.gdufe.edu.cn/,,fao3@gdufe.edu.cn,,
28,广东轻工职业技术大学,广州市,双非,公办,,https://jy.gdipu.edu.cn,,,,,,,,http://www.gdqy.edu.cn/gjjl_gat_.htm,,,020-61230200,
29,广东金融学院,广州市,双非,公办,,https://jy.gduf.edu.cn/unijob/index.php/web/Index/index,,gdufjy@163.com,020-87053902,https://yjs.gduf.edu.cn/,,,,http://www.gduf.edu.cn/hzjl/gjjl.htm,,,,
30,广州体育学院,广州市,双非,公办,未上榜/独立榜,http://www.gzsport.edu.cn:80/node/104,,,020-38024301; 020-38025613; 020-38024685,,,,,https://fao.gzsport.edu.cn/,,,,
31,广州大学,广州市,双非,公办,105,http://www.gzhu.edu.cn/zsjy1.htm,,,,http://yjsy.gzhu.edu.cn/,,yjsy@gzhu.edu.cn,020-39366238; 020-39366199,,,,,
32,广州美术学院,广州市,双非,公办,未上榜/独立榜,http://www.gzarts.edu.cn/index/zsjy/zsxx.htm,,,,http://yjs.gzarts.edu.cn,,,,http://wsc.gzarts.edu.cn/,,,,
33,广州职业技术大学,广州市,双非,公办,,http://www.gzpyp.edu.cn/zsjy,,gzpyp@gzpyp.edu.cn,020-84736666; 020-34874086,,,,,,,,,
34,广州航海学院,广州市,双非,公办,448,http://www.gzmtu.edu.cn/zsjy.htm,,,020-32083010,,,,,https://gjjlxy.gzmtu.edu.cn/gjjl.htm,,gjjlsh@gzmtu.edu.cn,020-82003167,
35,星海音乐学院,广州市,双非,公办,未上榜/独立榜,https://xsjy.xhcom.edu.cn/,,,,https://zs.xhcom.edu.cn/yjszs.htm,,,020-39363636,http://gjjy.xhcom.edu.cn/,,icxhcm_xf@163.com,020-39315630; 020-39363388; 020-39311495,
36,香港科技大学（广州）,广州市,双非,中外合作办学,未上榜/独立榜,,,,,https://fytgs.hkust-gz.edu.cn/,,,,https://global.hkust-gz.edu.cn/,,,,
37,惠州学院,惠州市,双非,公办,329,http://www.hzu.edu.cn/543/list.htm,,,0752-2527099,http://www.hzu.edu.cn/yjszs/list.htm,,,0752-2529000,https://fao.hzu.edu.cn/gatsw/list.htm,,fao@hzu.edu.cn,0752-2529210,
38,嘉应学院,梅州市,双非,公办,421,https://jyzx.jyu.edu.cn/,,jygz@jyu.edu.cn,0753-2186665,https://yjs.jyu.edu.cn/,,jyuyjs@jyu.edu.cn,0753-2188296,https://waishi.jyu.edu.cn/,,fao@jyu.edu.cn,0753-2186662; 0753-2363398,
39,广东以色列理工学院,汕头市,双非,中外合作办学,未上榜/独立榜,,,,,https://sites.gtiit.edu.cn/research/graduate-studies/,,,,https://www.gtiit.edu.cn/student-china.aspx,,,0754-88077088,
40,汕头大学,汕头市,双非,公办,,https://gdc.stu.edu.cn/,,job@stu.edu.cn,0754-86502252; 0754-82522372,https://www.gs.stu.edu.cn/,,o_yzb@stu.edu.cn; o_pyb@stu.edu.cn; o_yjsgzb@stu.edu.cn,0754-86502424; 0754-86504743; 0754-86504000,https://icd.stu.edu.cn/,,icd@stu.edu.cn,0754-86502316; 0754-86502131,
41,五邑大学,江门市,双非,公办,236,https://career.wyu.edu.cn,,wyujob@163.com,0750-3296252,http://www.wyu.edu.cn/yjscx,,,,http://www.wyu.edu.cn/wsc/,,wyufao@wyu.edu.cn,0750-3296188,
42,深圳信息职业技术大学,深圳市,双非,公办,,http://career.sziit.edu.cn/,,it89226367@qq.com,0755-89226738; 0755-89226367,,,,,https://www.suit-sz.edu.cn/hzjl/gjjlyhz.htm,,,0755-89226555,
43,深圳北理莫斯科大学,深圳市,双非,中外合作办学,未上榜/独立榜,https://admission.smbu.edu.cn/,,admission@smbu.edu.cn,0755-28323360; 0755-28323398,https://gradadmissions.smbu.edu.cn/,,,,http://www.smbu.edu.cn/gjjl/gjjl.htm,,,0755-28323024,
44,深圳大学,深圳市,双非,公办,68,https://jobszu.jysd.com/,,szjobcenter@163.com,0755-26536106; 0755-26535652; 0755-86931632,http://gra.szu.edu.cn/,,gra@szu.edu.cn,0755-26536177,http://www.szu.edu.cn/hzjl/gjjl.htm,,,0755-26536114,
45,深圳技术大学,深圳市,双非,公办,未上榜/独立榜,https://www.sztu.edu.cn/zsjy.htm,,,,https://gra.sztu.edu.cn/zsxx/zsz.htm,,,,https://www.sztu.edu.cn/dwjl.htm,,,,
46,深圳理工大学,深圳市,双非,公办,未上榜/独立榜,https://www.suat-sz.edu.cn/zsjy.htm,,foreign-affairs@siat.ac.cn,,https://www.suat-sz.edu.cn/yjy/ylqxcyjsyjy.htm,,office@suat-sz.edu.cn,,https://www.suat-sz.edu.cn/gjhz.htm,,office@suat-sz.edu.cn,,
47,深圳职业技术大学,深圳市,双非,公办,,https://www.szpu.edu.cn/zsjy.htm,,,26011000,,,,,https://www.szpu.edu.cn/zsjy/gatzs1.htm,,liyuanyuan@cucas.cn,26011000,
48,香港中文大学（深圳）,深圳市,双非,中外合作办学,未上榜/独立榜,https://career.cuhk.edu.cn/,,CareerService@cuhk.edu.cn,,https://gs.cuhk.edu.cn/,,,,,,,,
49,岭南师范学院,湛江市,双非,公办,384,http://www.lingnan.edu.cn/zsjy.htm,,,0759-3183226,https://d.lingnan.edu.cn/yjsc/,,lnsfyz@lingnan.edu.cn,0759-3183072,http://d.lingnan.edu.cn/gjc/,,,,
50,广东医科大学,湛江市,双非,公办,,https://www.gdmu.edu.cn/zsjy/zsxx1.htm,,,0769-22896175,http://yjsxy.gdmu.edu.cn/,,,,,,,,
51,广东海洋大学,湛江市,双非,公办,292,https://www.gdou.edu.cn/zjzx/,,,,https://grs.gdou.edu.cn/,,Yjs@gdou.edu.cn,0759-2396185,https://iod.gdou.edu.cn/,,,0759-2396202,
52,韩山师范学院,潮州市,双非,公办,415,https://jyb.hstc.edu.cn/,,,,,,,,https://wsb.hstc.edu.cn/,,,,
53,北京师范大学－香港浸会大联合国际学院,珠海市,双非,内地与港澳台合作办学,未上榜/独立榜,https://www.uic.edu.cn/admissions_and_placement.htm,,,0756-3620000,https://www.uic.edu.cn/faculties_and_schools.htm,,,0756-3620000,http://admission.bnbu.edu.cn/gatq/twxcsqz.htm,,admission@bnbu.edu.cn; bnbuhko@hkbu.edu.hk,,
54,肇庆医学院,肇庆市,双非,公办,,,,,,,,,,,,,,官网不可达：全部方式失败
55,肇庆学院,肇庆市,双非,公办,346,https://jyzd.zqu.edu.cn,,,,https://yjsc.zqu.edu.cn/,,zquyzb@zqu.edu.cn; yjsy@zqu.edu.cn; 2316815238@qq.com,0758-2716770,https://wsc.zqu.edu.cn/,,global3@zqu.edu.cn,,
56,广东石油化工学院,茂名市,双非,公办,428,http://xueshengchu.gdupt.edu.cn,,,,http://www.gdupt.edu.cn/jgsz/dzgljg1/fzghb_yjsb_.htm,,,0668-2923508; 0668-2923758,https://site.gdupt.edu.cn/oiec/,,,,
57,韶关学院,韶关市,双非,公办,405,http://www.sgu.edu.cn/zsxxw,,,0751-8120066,http://www.sgu.edu.cn/yjsb,,,0751-8120049,http://www.sgu.edu.cn/dwjlhzb,,,0751-8121371; 0751-8121661; 0751-8120781,
