序号,省份,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-领导及邮箱,国际处-电话,理工学院数,理工学院明细,备注
27,湖北省,武汉大学,,985,公办,8,,,,,https://www.whu.edu.cn/rcpy.htm#md2,,,027-68752059,https://oir.whu.edu.cn/,,,"彭国晖 主任
邓鹤翔 部长（全面负责国际交流部工作， 分管 综合）
刘晓黎 副部长（分管 欧亚非事务）
何小英 副部长（分管 法国、法语区国家交流工作 、武汉法语）
章臣 副部长（分管美大事务）
张卫星 副部长（分管 外国专家工作）",027-68752059,19,"数学与统计学院 | http://maths.whu.edu.cn/ | 邮箱:maths@whu.edu.cn | 电话:027-68752957
物理科学与技术学院 | http://physics.whu.edu.cn/ | 邮箱:Phy@whu.edu.cn | 电话:027-68752161
化学与分子科学学院 | http://chem.whu.edu.cn/ | 邮箱:hxydzb@whu.edu.cn | 电话:027-68754067
生命科学学院 | http://bio.whu.edu.cn/ | 邮箱:1304011@whu.edu.cn | 电话:+86-27-68753780
资源与环境科学学院 | http://sres.whu.edu.cn/ | 邮箱:sres@whu.edu.cn | 电话:027-68778381
地球与空间科学技术学院 | https://esst.whu.edu.cn/ | 邮箱:esst@whu.edu.cn | 电话:027-68762320; 027-68762319; 027-68761285
动力与机械学院 | http://pmc.whu.edu.cn/ | 邮箱:1234567@whu.edu.cn
电气与自动化学院 | http://eea.whu.edu.cn/ | 邮箱:wddqxy@whu.edu.cn | 电话:027-68772279
土木建筑工程学院 | http://civ.whu.edu.cn/
水利水电学院 | http://swrh.whu.edu.cn/ | 邮箱:sdxy@whu.edu.cn | 电话:68788661; 027-68772215
机器人学院 | https://robotics.whu.edu.cn/ | 邮箱:robotics@whu.edu.cn | 电话:027-68762500
集成电路学院 | http://ic.whu.edu.cn | 邮箱:ic@whu.edu.cn; haohu@whu.edu.cn; shengliu@whu.edu.cn | 电话:027-68776922; 027-68776808; 027-68776698
电子信息学院 | http://eis.whu.edu.cn/ | 邮箱:eisyb@whu.edu.cn; dsli@whu.edu.cn; gxzheng@whu.edu.cn | 电话:027-68752529; 027-68752817; 027-68756276
计算机学院 | http://cs.whu.edu.cn/ | 邮箱:computer@whu.edu.cn | 电话:18881115244
遥感信息工程学院 | http://rsgis.whu.edu.cn/ | 邮箱:ygxy@whu.edu.cn | 电话:027-68778546
测绘学院 | http://www.sgg.whu.edu.cn/
国家网络安全学院 | http://cse.whu.edu.cn | 邮箱:cse@whu.edu.cn | 电话:027-68778117; 027-68758373
人工智能学院 | https://sai.whu.edu.cn/ | 邮箱:whusai@whu.edu.cn | 电话:027-68766218; 027-68763227; 027-68761886
国家卓越工程师学院 | https://ncee.whu.edu.cn | 邮箱:ncee@whu.edu.cn | 电话:027-68763997",
28,湖南省,中南大学,,985,公办,27,https://www.csu.edu.cn/zsjy.htm,,homepage@csu.edu.cn,0731-88876114,http://gra.csu.edu.cn,,,,https://iecd.csu.edu.cn/,,csuwsb@126.com; ied-csu@csu.edu.cn; summerschool@csu.edu.cn,"殷刚 处长
纪海龙 副处长
陈强 副主任
胡烨耀 副处长
黄彦凝 主任
刘宇翔 主任
文宁 副主任
杨帆 副主任
黄桦 科员
李学军 副处长（分管医口国际合作交流工作）
穆克朗 副部长
文宁 联系人（合作办学）
黄彦凝 联系人（公派项目）: gongpailiuxue@csu.edu.cn",,19,"数学与统计学院 | http://math.csu.edu.cn/ | 电话:0731-88660152
物理学院 | http://wl.csu.edu.cn/ | 邮箱:1105823620@qq.com | 电话:0731-88836457; 0731-88830857; 0731-88836853
化学化工学院 | http://ccce.csu.edu.cn/
机电工程学院 | http://cmee.csu.edu.cn/ | 电话:0731-88879351
能源科学与工程学院 | http://energy.csu.edu.cn | 电话:0731-88879863
材料科学与工程学院 | http://mse.csu.edu.cn/ | 电话:0731-88879341（
粉末冶金研究院 | http://pmri.csu.edu.cn/ | 邮箱:x-pmri@mail.csu.edu.cn | 电话:0731-88879422
交通运输工程学院 | http://stte.csu.edu.cn/ | 邮箱:37393916@qq.com; huanghelai@csu.edu.cn | 电话:0731-82655326; 0731-82655315; 0731-82655446
土木工程学院 | http://civil.csu.edu.cn/ | 邮箱:tmyxwzx@csu.edu.cn | 电话:0731-82655218
冶金与环境学院 | http://smse.csu.edu.cn/ | 邮箱:csumetallurgy@csu.edu.cn | 电话:0731-88830923
地球科学与信息物理学院 | http://gip.csu.edu.cn/ | 邮箱:mail@gip.csu.edu | 电话:0731-88836153
资源与安全工程学院 | http://srse.csu.edu.cn/ | 邮箱:qinjin@csu.edu.cn; zlzhou@csu.edu.cn | 电话:0731-88879612; 0731-88830960; 0731-88877927
资源加工与生物工程学院 | http://mpb.csu.edu.cn | 邮箱:info@sitename.com | 电话:0731-88879622
自动化学院 | http://soa.csu.edu.cn/ | 邮箱:zdhxyyb@csu.edu.cn | 电话:0731-88830342; 0731-88830700
计算机学院 | http://cse.csu.edu.cn/ | 电话:0731-88836659
电子信息学院 | https://ei.csu.edu.cn/ | 电话:0731-82244806
生命科学学院 | http://life.csu.edu.cn/ | 邮箱:life_csu@163.com | 电话:0731-89665629
国家卓越工程师学院 | https://ngce.csu.edu.cn/ | 邮箱:gzy@csu.edu.cn | 电话:0731-88876326
中国科学院 | http://www.cas.cn | 电话:861068597114（",
29,湖南省,国防科技大学,,985,公办,,https://www.nudt.edu.cn/zsjy/index.htm,国防科大,English,0731-84576114; 0731-87027137; 0731-87027139,http://yjszs.nudt.edu.cn/index/index.view,,,,,,,,,9,"理学院 | https://www.nudt.edu.cn/yssz/lxy/index.htm | 电话:0731-84576114; 0731-87027137; 0731-87027139
计算机学院 | https://www.nudt.edu.cn/yssz/jsjxy/index.htm
电子科学学院 | https://www.nudt.edu.cn/yssz/dzkxxy/index.htm
前沿交叉学科学院 | https://www.nudt.edu.cn/yssz/qyjcxkxy/index.htm
智能科学学院 | https://www.nudt.edu.cn/yssz/znkxxy/index.htm
系统工程学院 | https://www.nudt.edu.cn/yssz/xtgcxy/index.htm
空天科学学院 | https://www.nudt.edu.cn/yssz/ktkxxy/index.htm
电子对抗学院 | https://www.nudt.edu.cn/yssz/dzdkxy/index.htm
气象海洋学院 | https://www.nudt.edu.cn/yssz/qxhyxy/index.htm",
30,湖南省,湖南大学,,985,公办,31,https://www.hnu.edu.cn/zsjy.htm,,xiaoban@hnu.edu.cn,,http://gra.hnu.edu.cn/,,,0731-88821224（,http://wsc.hnu.edu.cn/,,,"肖尊芳（教职工出国）
蔡婷（学生出国）: hnucaiting@hnu.edu.cn
刘蕾: fao@hnu.edu.cn
周思倩（联系姓名）: siqian@hnu.edu.cn
琚志燕（联系姓名）
罗卓娃",0731-88823974,14,"国家卓越工程师学院 | http://ngcee.hnu.edu.cn/ | 邮箱:zgxy@hnu.edu.cn
数学学院 | http://math.hnu.edu.cn/ | 邮箱:xiaoban@hnu.edu.cn; sxxy@hnu.edu.cn | 电话:0731-88822570
物理与微电子科学学院 | http://spe.hnu.edu.cn/ | 电话:0731-88822332; 0731-88821986; 0731-88822627
化学化工学院 | http://cc.hnu.edu.cn/ | 邮箱:ccxzb@hnu.edu.cn | 电话:0731-88822286
机械与运载工程学院 | http://mve.hnu.edu.cn/ | 电话:0731-88822825; 0731-88822826; 0731-88823120
材料科学与工程学院 | http://clxy.hnu.edu.cn/ | 电话:0731-88821727
电气与信息工程学院 | http://eeit.hnu.edu.cn/ | 电话:0731-88822224
网络空间安全学院 | http://cst.hnu.edu.cn/ | 邮箱:xiaoban@hnu.edu.cn
人工智能与机器人学院 | http://robotics.hnu.edu.cn/index.htm | 邮箱:jqjob@hnu.edu.cn | 电话:0731-88821990
建筑与规划学院 | http://arch.hnu.edu.cn/
土木工程学院 | http://ce.hnu.edu.cn | 邮箱:hnuce@hnu.edu.cn | 电话:0731-88822610
环境科学与工程学院 | http://ee.hnu.edu.cn/ | 邮箱:hgx@hnu.edu.cn
未来技术学院 | https://www.hnu.edu.cn/ | 邮箱:xiaoban@hnu.edu.cn
人工智能先进制造研究院 | https://ai.hnu.edu.cn/index.htm | 邮箱:ai@hnu.edu.cn | 电话:88822024",
31,甘肃省,兰州大学,,985,公办,40,,,,,,,,,https://faoffice.lzu.edu.cn/,,,,,0,,
32,福建省,厦门大学,,985,公办,25,http://jy.xmu.edu.cn/,,jiuyezhaopin@xmu.edu.cn,0592-2184550,http://gs.xmu.edu.cn/,,YJSY@XMU.EDU.CN,0592-2186259,https://ice.xmu.edu.cn/,,,"黄琛主 副处长（主持）
黄琛 副处长（，我校）",0592-2180240,3,"自然科学学部 | https://www.xmu.edu.cn/xbyx/zrkxxb.htm
工程技术学部 | https://www.xmu.edu.cn/xbyx/gcjsxb.htm
地球科学与技术学部 | https://www.xmu.edu.cn/xbyx/dqkxyjsxb.htm",
33,辽宁省,东北大学,沈阳市,985,公办,38,http://job.neu.edu.cn/,,neujiuye@163.com; NEU83681260@163.com; NEUcareer@163.com,024-83687393; 024-83689881; 024-83681260,http://www.graduate.neu.edu.cn,,,,http://int.neu.edu.cn/,,,,,17,"理学院 | http://cos.neu.edu.cn/ | 邮箱:cos@mail.neu.edu.cn
资源与土木工程学院 | http://www.zitu.neu.edu.cn/
冶金学院 | http://www.som.neu.edu.cn/ | 电话:023-06055084
材料科学与工程学院 | http://www.mse.neu.edu.cn/ | 邮箱:clxy@mail.neu.edu.cn
机械工程与自动化学院 | http://www.me.neu.edu.cn/
信息科学与工程学院 | http://www.ise.neu.edu.cn/ | 电话:00172830373; 15264629469
计算机科学与工程学院 | http://www.cse.neu.edu.cn/ | 邮箱:neucse@cse.neu.edu.cn
软件学院 | http://sc.neu.edu.cn/
生命科学与健康学院 | http://www.clhs.neu.edu.cn/
江河建筑学院 | http://www.jz.neu.edu.cn/ | 邮箱:ddjzxy@mail.neu.edu.cn
机器人科学与工程学院 | http://www.rse.neu.edu.cn/
未来技术学院 | http://sft.neu.edu.cn/ | 电话:0909543182
国家卓越工程师学院 | http://www.nsee.neu.edu.cn/
悉尼智能科技学院 | http://sstc.neuq.edu.cn/ | 邮箱:sstc@neuq.edu.cn | 电话:0335-8396500; 0335-8396075
海洋工程研究院 | http://hygcyjy.neuq.edu.cn/
科学技术研究院 | http://kyy.neu.edu.cn/ | 电话:07746382851
人工智能与大数据研究院 | http://idao.neu.edu.cn/",
34,辽宁省,大连理工大学,大连市,985,公办,28,http://job.dlut.edu.cn/index.html,,career@dlut.edu.cn; dlutjy@dlut.edu.cn; pjjy@dlut.edu.cn,0411-84708222; 0411-84709222; 0411-84706641,http://gs.dlut.edu.cn/,,yjsyzhb@dlut.edu.cn,0411-84708330,http://dutdice.dlut.edu.cn/,,dutfao@dlut.edu.cn,王莲 主任,0411-84708702,25,"化工学院 | http://chemeng.dlut.edu.cn/
环境学院 | http://est.dlut.edu.cn | 邮箱:sestdut@dlut.edu.cn | 电话:014161990002
生物工程学院 | http://biotech.dlut.edu.cn | 电话:0411-84708083
机械工程学院 | http://me.dlut.edu.cn | 邮箱:me@dlut.edu.cn
材料科学与工程学院 | http://mse.dlut.edu.cn | 邮箱:mse@dlut.edu.cn | 电话:0411-84708430
能源与动力学院 | http://power.dlut.edu.cn | 邮箱:powere@dlut.edu.cn | 电话:0411-84708460
电子信息与电气工程学部 | http://ee.dlut.edu.cn/ | 邮箱:dutee@dlut.edu.cn | 电话:0411-84706936
电气工程学院 | http://eee.dlut.edu.cn
信息与通信工程学院 | http://ice.dlut.edu.cn | 邮箱:bowang@dlut.edu.cn
控制科学与工程学院 | http://scse.dlut.edu.cn | 邮箱:cse@dlut.edu.cn | 电话:0411-84701537
计算机科学与技术学院 | http://cs.dlut.edu.cn
智能科学与技术研究院 | https://ai.dlut.edu.cn/
建设工程学部 | http://sche.dlut.edu.cn/ | 邮箱:st_dlut@163.com | 电话:0411-84708500
土木工程学院 | http://civil.dlut.edu.cn | 电话:0411-84708500
水利工程学院 | http://she.dlut.edu.cn
港航与海洋工程学院 | http://hoe.dlut.edu.cn/ | 邮箱:ctr@dlut.edu.cn
交通运输学院 | http://trans.dlut.edu.cn | 邮箱:ctr@dlut.edu.cn
运载工程与力学学部 | http://vehicle.dlut.edu.cn/
力学与航空航天学院 | http://lihang.dlut.edu.cn/ | 电话:0411-84707652
船舶工程学院 | http://naoe.dlut.edu.cn/ | 电话:0411-84708396
物理学院 | http://physics.dlut.edu.cn/ | 电话:0411-84708370
数学科学学院 | http://math.dlut.edu.cn/ | 电话:0411-84708354
光电工程与仪器科学学院 | http://oeis.dlut.edu.cn/ | 邮箱:dlutoeis@dlut.edu.cn | 电话:0411-84706243
张大煜（化学）学院 | http://zdysc.dlut.edu.cn/
能源研究院 | http://iest.dlut.edu.cn/ | 邮箱:mamingjun@dlut.edu.cn | 电话:0411-84706582",
35,重庆市,重庆大学,,985,公办,34,https://www.cqu.edu.cn/zsjy.htm,,,001060250313; 000004000026,http://graduate.cqu.edu.cn/,,,,http://intex.cqu.edu.cn/,,,,,4,"理学部 | http://science.cqu.edu.cn/
工程学部 | http://www.fe.cqu.edu.cn/
建筑学部 | http://fbe.cqu.edu.cn/
信息学部 | http://fis.cqu.edu.cn/",
36,陕西省,西北农林科技大学,,985,公办,69,https://www.nwafu.edu.cn/zsjy/index.htm,,zhaoshb@nwafu.edu.cn; zhsh@nwafu.edu.cn; admission@nwafu.edu.cn,029-87080152; 029-87080151; 029-87080155,http://yjshy.nwsuaf.edu.cn/,,ybgsh@nwafu.edu.cn,02504100006; 029-87080155,https://gjc.nwsuaf.edu.cn/,,ipo@nwsuaf.edu.cn,"王小龙 处长（主持国际合作与交流处（港澳台办、上合项目办公室、丝路联盟办公室）
胡晓辉 副处长
邹宇锋 副处长（负责上合基地建设及 “一带一路”相关 工作）
综合科 科长（负责行政管理、宣传、港澳台事务和国际会议）
周怡娟 科员
姚玉佩 科员
池景慧 科员
陈泽玲 科员
同晓蕾 科员",2987082857,7,"资源环境学院 | http://zhxy.nwafu.edu.cn/ | 电话:029-87080055
机械与电子工程学院 | http://cmee.nwafu.edu.cn/ | 电话:029-87092391
信息工程学院 | http://cie.nwafu.edu.cn/ | 电话:029-87092352; 029-87092355
食品科学与工程学院 | http://food.nwafu.edu.cn/ | 电话:029-87092206
生命科学学院 | https://life.nwafu.edu.cn/
理学院 | http://lxy.nwafu.edu.cn/ | 电话:029-87092226
语言文化学院 | http://fld.nwsuaf.edu.cn/ | 电话:+86-29-87092629",
37,陕西省,西北工业大学,,985,公办,23,http://job.nwpu.edu.cn/home.do,,,,http://gs.nwpu.edu.cn/,Copyright,gs@nwpu.edu.cn,029-88430620; 029-88493641; 029-88430618,https://guoji.nwpu.edu.cn/,,icoffice@nwpu.edu.cn,"教授工 顾问（负责聘请外籍专家、学者为我校兼职、荣誉、顾问教授工作）
国际教 处长
李自伟 副处长",,19,"航空学院 | https://hangkong.nwpu.edu.cn/ | 电话:029-88493671
航天学院 | https://hangtian.nwpu.edu.cn/ | 电话:029-88430053
材料学院 | https://cailiao.nwpu.edu.cn/ | 邮箱:yuan4@nwpu.edu.cn
力学与交通运载工程学院 | https://liuyuan.nwpu.edu.cn/ | 邮箱:smcea@nwpu.edu.cn | 电话:029-88431000
动力与能源学院 | https://dongneng.nwpu.edu.cn/ | 电话:029-88431112
四川天府新区西工大先进动力研究院 | https://sichuan.nwpu.edu.cn | 邮箱:apri@nwpu.edu.cn | 电话:028-81535846
电子信息学院 | https://dianzi.nwpu.edu.cn/ | 邮箱:wwwww@nwpu.edu.cn | 电话:029-88431206
自动化学院 | https://zdhxy.nwpu.edu.cn/ | 邮箱:zdhxy@nwpu.edu.cn | 电话:029-88431389
计算机学院 | https://jsj.nwpu.edu.cn/
数学与统计学院 | https://math.nwpu.edu.cn/ | 邮箱:sxtj@nwpu.edu.cn | 电话:029-88431660
物理科学与技术学院 | https://physics.nwpu.edu.cn/ | 邮箱:phys@nwpu.edu.cn | 电话:029-88431652
化学与化工学院 | https://huaxue.nwpu.edu.cn/ | 邮箱:hxyhg@nwpu.edu.cn | 电话:029-88431664
软件学院 | https://ruanjian.nwpu.edu.cn/ | 电话:029-88431588
生命科学与技术学院 | https://life.nwpu.edu.cn | 电话:029-88430186
网络空间安全学院/国家保密学院 | https://wlkjaqxy.nwpu.edu.cn/ | 邮箱:csl@nwpu.edu.cn | 电话:0512-53331581; 029-88495027
人工智能学院 | http://soai.nwpu.edu.cn/ | 邮箱:soai@nwpu.edu.cn | 电话:029-88460895
柔性电子学院 | https://sfe.nwpu.edu.cn/ | 邮箱:ife@nwpu.edu.cn
国家卓越工程师学院 | https://eliteengineering.nwpu.edu.cn/ | 邮箱:npu_neie@nwpu.edu.cn
西北工业大学伦敦玛丽女王大学工程学院 | https://qm.nwpu.edu.cn/ | 电话:029-88431985",
38,陕西省,西安交通大学,,985,公办,10,http://job.xjtu.edu.cn/,,,,https://www.xjtu.edu.cn/rcpy/yjsjy.htm,,,,https://international.xjtu.edu.cn/,,,,,13,"数学学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1026 | 邮箱:jy.sun@mail.xjtu.edu.cn; yanli@mail.xjtu.edu.cn; xjtumath@mail.xjtu.edu.cn | 电话:82668739; 82665132; 82668551
物理学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=2067 | 邮箱:honggao@xjtu.edu.cn; zy@xjtu.edu.cn; daiwang321321@xjtu.edu.cn | 电话:029-82668118; 029-82668019; 029-82669372
化学学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=2072 | 邮箱:dingsj@xjtu.edu.cn; zhichengzhang@xjtu.edu.cn; marf@xjtu.edu.cn | 电话:88965527; 88964734
机械学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1027 | 邮箱:yaguolei@mail.xjtu.edu.cn; huguo@xjtu.edu.cn; jxyb@xjtu.edu.cn | 电话:029-82668602
电气学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1028 | 邮箱:yangxu@mail.xjtu.edu.cn; dlliang@mail.xjtu.edu.cn; wangh@mail.xjtu.edu.cn | 电话:029-82665223; 029-82668523; 029-82668324
人工智能学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=2207 | 邮箱:rjs@mail.xjtu.edu.cn | 电话:82668672
材料学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1032 | 邮箱:dingxd@xjtu.edu.cn; gaohong@mail.xjtu.edu.cn; huanhuan@mail.xjtu.edu.cn | 电话:82667911; 82668915; 82668614
生命学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1034 | 邮箱:fengxu@xjtu.edu.cn; liuru@xjtu.edu.cn; slst@mail.xjtu.edu.cn | 电话:82665429; 82665626; 82669021
航天学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1035 | 邮箱:sshen@mail.xjtu.edu.cn; apzhang@xjtu.edu.cn | 电话:82668394; 82668750
化工学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1036 | 邮箱:guidongyang@mail.xjtu.edu.cn; jymiao@xjtu.edu.cn; scet@xjtu.edu.cn | 电话:88968362; 88968363; 88965843
仪器科学与技术学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=2217 | 邮箱:libozhao@xjtu.edu.cn; seanwei@xjtu.edu.cn; yqyb@xjtu.edu.cn | 电话:029-82663427
未来技术学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=2117 | 邮箱:xhw@xjtu.edu.cn | 电话:029-88963508
国家卓越工程师学院 | https://www.xjtu.edu.cn/xynr.jsp?urltype=tree.TreeTempUrl&wbtreeid=2227 | 邮箱:yangqingyu@mail.xjtu.edu.cn",
39,黑龙江省,哈尔滨工业大学,哈尔滨市,985,公办,12,http://www.hit.edu.cn/11537/list.htm,,,,http://hitgs.hit.edu.cn/,,,0451-86412296,http://www.hit.edu.cn/11555/list.htm,,,"委常务 副书记
校长 助理",,20,"科学与工业技术研究院 | http://keyan.hit.edu.cn | 电话:0451-86418144
航天学院 | http://sa.hit.edu.cn/ | 电话:0451-86403518
电子与信息工程学院 | http://seie.hit.edu.cn/ | 电话:0451-86413408
机电工程学院 | http://sme.hit.edu.cn/ | 邮箱:hitsme@hit.edu.cn | 电话:0451-86413109
材料科学与工程学院 | http://mse.hit.edu.cn/ | 邮箱:mser@hit.edu.cn | 电话:0451-86413909
能源科学与工程学院 | http://power.hit.edu.cn/ | 电话:0451-86413209
电气工程及自动化学院 | http://hitee.hit.edu.cn/ | 邮箱:hitee2018@hit.edu.cn | 电话:0451-86418297
仪器科学与工程学院 | http://www.hit.edu.cn/_redirect?siteId=238&columnId=11332&articleId=219351 | 电话:0451-86415857
数学学院 | http://math.hit.edu.cn/ | 邮箱:HIT_math1987@163.com
物理学院 | http://physics.hit.edu.cn/ | 电话:0451-86414109
土木工程学院 | http://civil.hit.edu.cn/
环境学院 | http://env.hit.edu.cn/ | 邮箱:env@hit.edu.cn
建筑与设计学院 | http://arch.hit.edu.cn/
交通科学与工程学院 | http://jtxy.hit.edu.cn/ | 电话:0451-86282116
网络空间安全学院 | http://cys.hit.edu.cn/
计算机科学与技术学院 | http://computing.hit.edu.cn/ | 邮箱:csoffice@hit.edu.cn | 电话:0451-86403260
国家示范性软件学院 | http://software.hit.edu.cn/ | 邮箱:software@hit.edu.cn | 电话:0451-86418711
化工与化学学院 | http://chemeng.hit.edu.cn/ | 邮箱:hgxy@hit.edu.cn | 电话:0451-86403609
生命科学与技术学院 | http://life.hit.edu.cn/ | 邮箱:talent.slt@hit.edu.cn; life@hit.edu.cn | 电话:0451-86403827
空间环境与物质科学研究院 | http://www.hit.edu.cn/_redirect?siteId=238&columnId=11332&articleId=218755 | 邮箱:lilifang@hit.edu.cn; wangtq@hit.edu.cn; shengjie@hit.edu.cn | 电话:18846781985; 13796163141; 18645085036",
40,上海市,上海外国语大学,,211,公办,,https://www.shisu.edu.cn/admissions/index.html,,,,,,,,https://oice.shisu.edu.cn/,,,,,1,语言科学研究院 / Institute of Language Sciences | https://ilas.shisu.edu.cn/ | 邮箱:ilas@shisu.edu.cn | 电话:021-67701865; 021-35372364,
41,上海市,上海大学,,211,公办,60,https://www.shu.edu.cn/zsjy.htm,,,021-96928188; 009102000049,https://yjszs.shu.edu.cn/,,,02166133763,https://global.shu.edu.cn/,上海大学留学生公众号,,"王丽娜 书记: shwlna@t.shu.edu.cn
崔巍 副部长: cwmail@shu.edu.cn
李颖洁 副部长: liyj@shu.edu.cn
陈秀猛 副院长: chenxiumeng@shu.edu.cn
黄培 副处长: hilaire@shu.edu.cn
来慧洁 副处长: huijielai@shu.edu.cn
徐晓红 副处长: xuxiaohong@shu.edu.cn
裴雨来 副院长
张新玲 副院长
金晓 主任
周梁（交流与合作）: lanezhou@shu.edu.cn
赵奕（交流与合作）: zhaoyidoris@shu.edu.cn
赵娅如（交流与合作）: yarulove2006@shu.edu.cn
李婧媛（交流与合作）: lisa-li@shu.edu.cn
郑文龙（因公出国境）: zwl-021@i.shu.edu.cn
李勇（因公出国境）: lixiaoyong@i.shu.edu.cn
刘阳（因公出国境）: yangliuzz@shu.edu.cn
李珊珊（外专事务）: lishanshan@i.shu.edu.cn
韩瑞琪（外专事务）: rqhan@shu.edu.cn
刘飞（国际组织实习、学生海外项目）: liufei2007@shu.edu.cn
刘赛（学生海外项目）: liusai@shu.edu.cn
胡宇轩（学生海外项目）: yuxuanhu@shu.edu.cn
苏庆伟（港澳台交流合作）: qwsu@shu.edu.cn
丁青（中外合作办学）: dqcarol@i.shu.edu.cn
金祺（孔子学院事务）: qjin@shu.edu.cn
彭亚男（孔子学院事务）
朱珈仪（孔子学院事务）: jiayi_zhu@shu.edu.cn
刘坤坤（组织员）: sweat_lemon@shu.edu.cn
戎艳（综合事务）: ivyrong@shu.edu.cn
谢文博（综合事务、国际会议）: xiewenbo1@shu.edu.cn
黄蕾（综合事务）: lhuang5@shu.edu.cn
宁金妍（综合事务）: jyning@t.shu.edu.cn
徐昭恒 研究员: zhhxu@shu.edu.cn",,12,"人工智能研究院 | https://ai.shu.edu.cn/ | 电话:009102000049
材料基因组工程研究院 | https://mgi.shu.edu.cn/ | 电话:009102000049
理学院 | https://scicol.shu.edu.cn | 电话:009102000049
通信与信息工程学院 | https://scie.shu.edu.cn/ | 电话:009102000049
计算机工程与科学学院 | https://cs.shu.edu.cn/ | 电话:009102000049
机电工程与自动化学院 | https://auto.shu.edu.cn/ | 电话:04223120887; 04323121998; 04423121186
材料科学与工程学院 | https://mat.shu.edu.cn | 电话:009102000049
环境与化学工程学院 | https://ece.shu.edu.cn/ | 电话:009102000049
生命科学学院 | https://bio.shu.edu.cn/ | 电话:021-66132665
中欧工程技术学院 | https://utseus.shu.edu.cn/
微电子学院 | https://sme.shu.edu.cn/ | 电话:009102000049
卓越工程师学院 | https://zhgy.shu.edu.cn/ | 电话:009102000049",
42,上海市,上海财经大学,,211,公办,,https://career.sufe.edu.cn/,,jyzd@mail.shufe.edu.cn,021-65904215,https://gs.sufe.edu.cn/,,yjsy@mail.shufe.edu.cn; yzb@mail.shufe.edu.cn,021-65904625; 021-65903795,https://ieco.shufe.edu.cn/,相关宣传连接中报名欢迎广大师生积极参与,ieco@mail.sufe.edu.cn,"丁冬 副处长（。在开场致辞中，丁冬副处长对各位外事同仁为推动学校国际化发展所付出的辛勤努力表示）
王磊 副处长（会议。王磊副处长首先代表学校对代表团的到访表示热烈欢迎。他简要介绍了上海财经大学）",,3,"统计与数据科学学院 | http://ssds.shufe.edu.cn/ | 电话:021-65901099; 021-65901079; 021-35312698
计算机与人工智能学院 | https://scai.sufe.edu.cn/main.htm | 邮箱:scai@mail.shufe.edu.cn | 电话:021-65901001--
数学学院 | http://math.shufe.edu.cn/ | 邮箱:math@mail.shufe.edu.cn | 电话:021-65902502",
43,上海市,东华大学,,211,公办,72,http://ejob.dhu.edu.cn/,扫描左侧二维码获取最新资讯,pluswin6@pluswin-china.com; houzhiqi@sh.chinalife-p.com.cn; job@dhu.edu.cn,021-67792486,http://gs.dhu.edu.cn/,,yjsdep@dhu.edu.cn,,https://ico.dhu.edu.cn/,,ico@dhu.edu.cn,"夏泽翰 主任（负责人陪同参观）
覃小红 处长: xhqin@dhu.edu.cn
张晓雪 副处长: snow@dhu.edu.cn
代表团 院长",,10,"纺织学院 | http://texcol.dhu.edu.cn/ | 邮箱:webmaster@dhu.edu.cn
机械工程学院 | http://meccol.dhu.edu.cn/ | 邮箱:meccol@dhu.edu.cn | 电话:021-67792567
信息与智能科学学院 | https://siis.dhu.edu.cn/
化学与化工学院 | http://cceb.dhu.edu.cn/ | 电话:021-67792306
材料科学与工程学院 | http://cmse.dhu.edu.cn/ | 邮箱:clxy@dhu.edu.cn; webmaster@dhu.edu.cn
环境科学与工程学院 | http://env.dhu.edu.cn/ | 电话:021-67792159
数学与统计学院 | https://maths.dhu.edu.cn/ | 邮箱:webmaster@dhu.edu.cn | 电话:02699001262; 02699005943; 0269900928
物理学院 | https://phys.dhu.edu.cn | 邮箱:webmaster@dhu.edu.cn
科学技术研究院 | http://research.dhu.edu.cn/
国家卓越工程师学院 | https://gce.dhu.edu.cn/ | 邮箱:zyg_dh@dhu.edu.cn | 电话:021-67792428",
