序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-领导及邮箱,国际处-电话,备注
11,中国政法大学,,211,公办,,,,,,,,,,http://gjhzjlc.cupl.edu.cn/,,,,,
12,中国石油大学（北京）,,211,公办,,http://career.cup.edu.cn/,,cupjiuye@qq.com; job89731016@163.com,010-89733499; 010-89731016,https://grs.cup.edu.cn/,邮编,,,https://www.cup.edu.cn/overseas/index.htm,,admission@cup.edu.cn; cie.office@cup.edu.cn; cie.dailyservices@cup.edu.cn,,,
13,中国矿业大学（北京）,,211,公办,,https://www.cumtb.edu.cn/zsjy.htm,,,,http://yjs.cumtb.edu.cn/,,,,https://international.cumtb.edu.cn/,,,,,
14,中央财经大学,,211,公办,,https://www.cufe.edu.cn/zsjy.htm,,,,http://gs.cufe.edu.cn/,,,,http://int.cufe.edu.cn/,,,,,
15,中央音乐学院,,211,公办,,https://www.ccom.edu.cn/zsyjy.htm,,,,,,,,https://www.ccom.edu.cn/info/18061/267901.htm,,,党委 院长（邮箱未公开）,,
16,北京中医药大学,,211,公办,,https://www.bucm.edu.cn/zsjy1/index.htm,,,,http://yanjiusheng.bucm.edu.cn/,,,,https://international.bucm.edu.cn/,,,,,
17,北京交通大学,,211,公办,,http://job.bjtu.edu.cn/,,jyb113@126.com; bjtujobwx@126.com; bjtujob@163.com,010-51688431; 010-51685913; 010-51682911,https://yzb.bjtu.edu.cn/,,bjtuzgxy@bjtu.edu.cn,,https://intl.bjtu.edu.cn/,,bjtu-intl@bjtu.edu.cn,,,
18,北京体育大学,,211,公办,,https://www.bsu.edu.cn/zsjy/index.htm,,,,https://www.bsu.edu.cn/kxyjsy/index.htm,,xiaoban@bsu.edu.cn,040202430168; 14015216941; 13585035162,http://wsc.bsu.edu.cn/,,wsc@bsu.edu.cn,樊战备 书记（负责人会面交流）（邮箱未公开）,,
19,北京化工大学,,211,公办,,https://www.buct.edu.cn/zsjy_11437/list.htm,,news@mail.buct.edu.cn,,http://graduate.buct.edu.cn/,,,,https://iecd.buct.edu.cn/,,,"处长（主管国际处及港澳台事务办公室全面工作）: zhangbing@buct.edu.cn
副处长: fengjh@buct.edu.cn",,
20,北京外国语大学,,211,公办,,https://jyzd.bfsu.edu.cn/,,jyzd@bfsu.edu.cn,010-88816211,https://graduate.bfsu.edu.cn/,,,,https://international.bfsu.edu.cn/,,,,,
21,北京工业大学,,211,公办,,http://admissions.bjut.edu.cn/,,,010-67391609,https://www.bjut.edu.cn/jyjx/yjsjy1.htm,,,010000000606,https://international.bjut.edu.cn/,,,际合作 处长（邮箱未公开）,,
22,北京林业大学,,211,公办,,http://job.bjfu.edu.cn,,,,http://graduate.bjfu.edu.cn/,,,,https://international.bjfu.edu.cn/,,gjc@bjfu.edu.cn,,,
23,北京科技大学,,211,公办,,https://www.ustb.edu.cn/zsjy/index.htm,,,,http://yzxc.ustb.edu.cn/,,,,https://oice.ustb.edu.cn/,,,"段晓芳 处长: xfduan@ustb.edu.cn
张博威 副处长: bwzhang@ustb.edu.cn",,
24,北京邮电大学,,211,公办,,,,,,,,,,https://www.bupt.edu.cn/hzjl.htm,,,,,官网不可达：requests失败
25,华北电力大学,,211,公办,,https://www.ncepu.edu.cn/zsjy/index.htm,,,,https://yjsy.ncepu.edu.cn/,,,,https://icd.ncepu.edu.cn/,,,"李博 处长（主持国际合作处（港澳台办）全面工作）（邮箱未公开）
赵子健 副处长（邮箱未公开）
丁肇豪 副处长（邮箱未公开）",,
26,对外经济贸易大学,,211,公办,,https://www.uibe.edu.cn/zsjy/index.htm,,,,https://yjsy.uibe.edu.cn/,,,,https://international.uibe.edu.cn/,,,,,
27,中国人民公安大学,,双一流,公办,,https://www.ppsuc.edu.cn/zsjy.htm,,gadx@ppsuc.edu.cn,,https://yzb.ppsuc.edu.cn/,,yzb@ppsuc.edu.cn,,https://www.ppsuc.edu.cn/dwjl.htm,,gadx@ppsuc.edu.cn,外事局 副处长（负责中老警务合作工作）（邮箱未公开）,,
28,中国科学院大学,,双一流,公办,,https://www.ucas.ac.cn/zsjy/index.htm,,,010702001635,https://www.ucas.ac.cn/jyjx/yjsjy/index.htm,,,010702001635,https://www.ucas.ac.cn/hzjl/gjhz/index.htm,,,"党委 书记（邮箱未公开）
王艳芬 副书记（邮箱未公开）
党委 副书记（邮箱未公开）
肖作敏 书记（邮箱未公开）",,
29,中国音乐学院,,双一流,公办,,,,,,http://yjsy.ccmusic.edu.cn/zsgz/ssyjszs/index.htm,,,010-64887561,https://gjjl.ccmusic.edu.cn/,,zyywb@126.com; gmel_ccmjec@163.com,,,
30,中央戏剧学院,,双一流,公办,,,,,,,,,,https://www.chntheatre.edu.cn/cn/Cooperation/gangao.html,,zhongxi@zhongxi.cn,,,
31,中央美术学院,,双一流,公办,,https://jy.cafa.edu.cn,,,,https://www.cafa.edu.cn/sp/2022clinks/?cs=1201,,,,https://global.cafa.edu.cn/,,lxs@cafa.edu.cn,,,
32,北京协和医学院,,双一流,公办,,https://www.pumc.edu.cn/jyjx/zsjy/index.htm,,,040202450060,http://graduate.pumc.edu.cn/,北京协和医学院研究生院,,,https://www.pumc.edu.cn/gjhz/hzjl_gjjl/index.htm,,,,,
33,外交学院,,双一流,公办,,,,,,https://yjsb.cfau.edu.cn/,,,,https://wjxx.cfau.edu.cn/,,,,,
34,首都师范大学,,双一流,公办,,https://www.cnu.edu.cn/zsjy/index.htm,,info@cnu.edu.cn,,https://www.cnu.edu.cn/jyjx/index.htm?mao=b02,,info@cnu.edu.cn,,https://io-hkmt.cnu.edu.cn/,,info@cnu.edu.cn,,,
