序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
17,吉林建筑大学,长春市,双非,公办,320,http://jlju.hjiuye.com/,学生就业小程序,jy84566069@163.com,0431-84566069,http://yjs.jlju.edu.cn/,,,0431-84566037; 0431-84566306; 0431-84566329,,,,,
18,吉林艺术学院,长春市,双非,公办,未上榜/独立榜,http://jy.jlart.edu.cn/,学生就业小程序,jlysxyjy@126.com,0431-85618360; 17600673259,http://yjs.jlart.edu.cn/,,,,https://gjhz.jlart.edu.cn/index.htm,,jua_international@qq.com,0431-85633961,
19,吉林警察学院,长春市,双非,公办,,https://zsw.jljcxy.com/,,jljcxyjy@163.com,0431-85001234; 0431-85001799; 0431-85001157,http://www.jljcxy.com/rcpy/yjsjy.htm,,,0431-85001110; 0431-85001234; 0431-85001370,http://www.jljcxy.com/info/2601/34811.htm,,,0431-85001110; 0431-85001234; 0431-85001370,
20,吉林财经大学,长春市,双非,公办,270,http://newzs.jlufe.edu.cn/,,,17202000216,https://yjsy.jlufe.edu.cn/,,,17202000216,,,,,
21,长春中医药大学,长春市,双非,公办,260,,,,,,,,,,,,,官网不可达：全部方式失败
22,长春大学,长春市,双非,公办,350,https://jyzx.ccu.edu.cn/,,,0431-85250026; 0431-82533039,https://yjsb.ccu.edu.cn/,长春大学公众号,,0431-85251786,http://wsc.ccu.edu.cn/,,gjjlhzc@ccu.edu.cn,0431-85250122,
23,长春工业大学,长春市,双非,公办,190,http://www.ccut.edu.cn/zsjy.htm,,,,https://yjsy.ccut.edu.cn/zsgz/a2024yzxxgk.htm,,,,,,,,
24,长春工程学院,长春市,双非,公办,,http://zsb.ccit.edu.cn/,,,0431-80578555,https://yjsgzc.ccit.edu.cn/,,,,,,,,
25,长春师范大学,长春市,双非,公办,,https://www.ccsfu.edu.cn/zsjy1.htm,,,,https://yjs.ccsfu.edu.cn/zsgz.htm,,,0431-86168695; 0431-86168864; 0431-86168134,https://www.ccsfu.edu.cn/gjjl.htm,,,,
26,长春汽车职业技术大学,长春市,双非,公办,,,,,,,,,,,,,,官网不可达：全部方式失败
27,长春理工大学,长春市,双非,公办,140,http://www.cust.edu.cn/zsjy2026/index.htm,,cust@cust.edu.cn,,http://www.cust.edu.cn/zsjy2026/yjszs20261/index.htm,,cust@cust.edu.cn,,http://www.cust.edu.cn/jlhz2026/gjhz20261/index.htm,,cust@cust.edu.cn,,
28,长春职业技术大学,长春市,双非,公办,,http://www.cvit.edu.cn/zsjy.htm,,,,,,,,http://www.cvit.edu.cn/gjjl.htm,,,,
