序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
11,哈尔滨建筑科技职业大学,哈尔滨市,双非,公办,,,,,,,,,,,,,,官网不可达：全部方式失败
12,哈尔滨理工大学,哈尔滨市,双非,公办,200,http://www.hrbust.edu.cn/zsjy.htm,,,,https://graduate.hrbust.edu.cn/3907/list.htm,,,,http://www.hrbust.edu.cn/gjhz.htm,,,,
13,哈尔滨职业技术大学,哈尔滨市,双非,公办,,http://hzjxy.jysd.com,,,0451-58971201,,,,,http://www.hrbzy.edu.cn/gjxy,,hvtcgjhzjlc@163.com,0451-86662281; 0451-86669663,
14,哈尔滨金融学院,哈尔滨市,双非,公办,560,,,,,,,,,,,,,官网不可达：全部方式失败
15,哈尔滨音乐学院,哈尔滨市,双非,公办,,http://www.hrbcm.edu.cn/jycs.htm,,yjiancha@126.com,0451-58597677; 0451-58597656; 0451-58597688,http://www.hrbcm.edu.cn/zsgz/yjszs.htm,,,,http://www.hrbcm.edu.cn/xxgk1/dwjlyhzxx.htm,,yjiancha@126.com,0451-58597677; 0451-58597656; 0451-58597688,
16,黑龙江中医药大学,哈尔滨市,双非,公办,270,http://zsjyc.hljucm.net/,,,,http://yjsy.hljucm.net/,,bozhongyuan@163.com,,http://www.hljucm.net/index/dwjl.htm,,,011002000482,
17,黑龙江农业工程职业技术大学,哈尔滨市,双非,公办,,,,,,https://mp.weixin.qq.com/s/E2a4ndPa1YJsCLfefgdWLA,公众号二维码（未获取图片）,,,,,,,
18,黑龙江大学,哈尔滨市,双非,公办,145,http://job.hlju.edu.cn,,,0451-86609652; 0451-86608896; 0451-86604215,http://yjsy.hlju.edu.cn/,,,0451-86604902,http://gjjl.hlju.edu.cn/,,,0451-86608376,
19,黑龙江工程学院,哈尔滨市,双非,公办,570,,,,,,,,,,,,,官网不可达：全部方式失败
20,黑龙江科技大学,哈尔滨市,双非,公办,350,http://job.usth.edu.cn/,,,0451-88036988,https://gs.usth.edu.cn/,,,,https://iceo.usth.edu.cn/,,,15639720627,
21,东北石油大学,大庆市,双非,公办,230,http://www.nepu.edu.cn/zsjy1.htm,,Webmaster@nepu.edu.cn,,http://yjsb.nepu.edu.cn,,,19210459783,http://www.nepu.edu.cn/gjjl/xjjl.htm,,Webmaster@nepu.edu.cn,,
22,大庆师范学院,大庆市,双非,公办,490,http://www.dqsy.net/zsjy.htm,,,,,,,,,,,,
23,黑龙江八一农垦大学,大庆市,双非,公办,420,http://www.byau.edu.cn/900/list.htm,,,,http://www.byau.edu.cn/932/list.htm,,,,http://www.byau.edu.cn/934/list.htm,,,,
24,牡丹江医科大学,牡丹江市,双非,公办,,https://www.hljbys.org.cn/school/index?mark=mdjmu,,,,http://www.mdjmu.cn/yjsc/,,,,,,,,
25,牡丹江师范学院,牡丹江市,双非,公办,480,https://mdjnu.gxbys.org.cn/,,,,http://yjs.mdjnu.cn/,,ascmdj@126.com,,,,,,
26,绥化学院,绥化市,双非,公办,510,http://www.shxy.edu.cn/jyzl.htm,,,,,,,,http://www.shxy.edu.cn/xxgk1/dwjlyhzxx.htm,,,,
27,黑龙江工业学院,鸡西市,双非,公办,550,http://www.hljut.edu.cn/a/zsjy/jiuyechuangye/,,,,,,,,http://www.hljut.edu.cn/a/guojijiaoliuhezuochu/,,,030202000019,
28,黑河学院,黑河市,双非,公办,530,https://zsxx.hhxy.edu.cn/,,,,,,,,https://gjjlhzc.hhxy.edu.cn/,,,,
29,齐齐哈尔医学院,齐齐哈尔市,双非,公办,,https://www.hljbys.org.cn/school/index?mark=qmu,,,0452-2663508,https://yjs.qmu.edu.cn/,,qyyzb@qmu.edu.cn,0452-2663828,https://foreignfairs.qmu.edu.cn/,,,0452-2663346; 0452-2663370,
30,齐齐哈尔大学,齐齐哈尔市,双非,公办,380,http://job.qqhru.edu.cn/,,,,https://yjs.qqhru.edu.cn,,,,https://iec.qqhru.edu.cn/,,529729107@qq.com,13846215679; 13704654326,
